,Title,Published_date,Views,Likes,Comments,Month
236,SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,2020-03-03,215265,6021,209,Mar
237,SQL Basics Tutorial For Beginners | Where Statement | 3/4,2020-03-02,226177,4411,118,Mar
238,SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,2020-03-01,330059,5312,227,Mar
239,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,2020-03-01,970262,13796,1565,Mar
240,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,2020-02-26,25304,845,162,Feb
241,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,2020-02-24,23440,510,39,Feb
242,Data Analyst Salary in 2020,2020-02-19,7949,154,25,Feb
243,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,2020-02-14,12759,567,39,Feb
244,Switching Careers to Become a Data Analyst | How I Made the Switch,2020-02-11,47929,1756,247,Feb
245,Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,2020-02-06,111599,3305,98,Feb
246,Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,2020-01-30,64607,1555,64,Jan
247,Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,2020-01-25,14229,393,20,Jan
248,Data Analyst Salary | 100k with No Experience,2020-01-23,61297,2127,226,Jan
249,Truth About Big Companies | Told by a Fortune 500 Data Analyst,2020-01-21,7827,295,18,Jan
250,Top 3 Data Analyst Skills in 2020,2020-01-17,27368,1347,138,Jan
